"followers","genres","href","id","name","popularity","type","uri"
24807,"chillsynth, synthwave","https://api.spotify.com/v1/artists/1FwlK3oTrK60CBk54koZJg","1FwlK3oTrK60CBk54koZJg","Lucy In Disguise",42,"artist","spotify:artist:1FwlK3oTrK60CBk54koZJg"
19383,"","https://api.spotify.com/v1/artists/1BPsbKiNgav1TY1ITIU8C5","1BPsbKiNgav1TY1ITIU8C5","Benji Lewis",48,"artist","spotify:artist:1BPsbKiNgav1TY1ITIU8C5"
130187,"nyc rap","https://api.spotify.com/v1/artists/7MigDh04CCntQbsBvugEmb","7MigDh04CCntQbsBvugEmb","Marlon Craft",58,"artist","spotify:artist:7MigDh04CCntQbsBvugEmb"
11992427,"pop","https://api.spotify.com/v1/artists/20JZFwl6HVl6yg8a4H3ZqK","20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco",75,"artist","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK"
26209652,"dance pop, pop","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",86,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5"
6902279,"modern alternative rock, modern rock, pop, pov: indie, rock","https://api.spotify.com/v1/artists/3mIj9lX2MWuHmhNCA7LSCW","3mIj9lX2MWuHmhNCA7LSCW","The 1975",76,"artist","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW"
112197,"indie soul, vapor soul","https://api.spotify.com/v1/artists/7vjRpVXoecwKTEsrb9iscj","7vjRpVXoecwKTEsrb9iscj","Jadu Heart",53,"artist","spotify:artist:7vjRpVXoecwKTEsrb9iscj"
108491,"compositional ambient, instrumental post-rock, space ambient","https://api.spotify.com/v1/artists/592TFYwu9Qb0RC1hKDbX2w","592TFYwu9Qb0RC1hKDbX2w","Helios",43,"artist","spotify:artist:592TFYwu9Qb0RC1hKDbX2w"
604899,"minneapolis indie, modern rock, pov: indie","https://api.spotify.com/v1/artists/1btWGBz4Uu1HozTwb2Lm8A","1btWGBz4Uu1HozTwb2Lm8A","Hippo Campus",59,"artist","spotify:artist:1btWGBz4Uu1HozTwb2Lm8A"
908290,"austindie, indie rock, pov: indie","https://api.spotify.com/v1/artists/6eJa3zG1QZLRB3xgRuyxbm","6eJa3zG1QZLRB3xgRuyxbm","Dayglow",64,"artist","spotify:artist:6eJa3zG1QZLRB3xgRuyxbm"
5636152,"escape room, minnesota hip hop, pop, trap queen","https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS","56oDRnqbIiwx4mymNEv7dS","Lizzo",74,"artist","spotify:artist:56oDRnqbIiwx4mymNEv7dS"
483323,"bedroom pop, indie poptimism, pov: indie","https://api.spotify.com/v1/artists/6sHCvZe1PHrOAuYlwTLNH4","6sHCvZe1PHrOAuYlwTLNH4","Gus Dapperton",58,"artist","spotify:artist:6sHCvZe1PHrOAuYlwTLNH4"
5527,"south carolina indie","https://api.spotify.com/v1/artists/2fnV6seL0Y3klLT1gR7Qa2","2fnV6seL0Y3klLT1gR7Qa2","Little Bird",23,"artist","spotify:artist:2fnV6seL0Y3klLT1gR7Qa2"
86205,"modern indie folk","https://api.spotify.com/v1/artists/1sgVcCMCarG7yWGmkP9wMb","1sgVcCMCarG7yWGmkP9wMb","John Vincent III",56,"artist","spotify:artist:1sgVcCMCarG7yWGmkP9wMb"
1227052,"pov: indie","https://api.spotify.com/v1/artists/2RQXRUsr4IW1f3mKyKsy4B","2RQXRUsr4IW1f3mKyKsy4B","Noah Kahan",80,"artist","spotify:artist:2RQXRUsr4IW1f3mKyKsy4B"
100063,"lancaster pa indie","https://api.spotify.com/v1/artists/3HZgaiR960RFqx9d4LPraD","3HZgaiR960RFqx9d4LPraD","The Districts",38,"artist","spotify:artist:3HZgaiR960RFqx9d4LPraD"
4515199,"edmonton indie, lo-fi indie, pov: indie","https://api.spotify.com/v1/artists/3Sz7ZnJQBIHsXLUSo0OQtM","3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco",78,"artist","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM"
165227,"compositional ambient, melancholia, neoclassical darkwave, pastoral, post-rock","https://api.spotify.com/v1/artists/1U0FaHAc4fcwQcYEJFgkm9","1U0FaHAc4fcwQcYEJFgkm9","Balmorhea",49,"artist","spotify:artist:1U0FaHAc4fcwQcYEJFgkm9"
252452,"ambient folk, chillwave, downtempo, electronica, folktronica, indietronica","https://api.spotify.com/v1/artists/0qzzGu8qpbXYpzgV52wOFT","0qzzGu8qpbXYpzgV52wOFT","Bibio",51,"artist","spotify:artist:0qzzGu8qpbXYpzgV52wOFT"
5984138,"cloud rap, dark trap, new orleans rap, underground hip hop","https://api.spotify.com/v1/artists/1VPmR4DJC1PlOtd0IADAO0","1VPmR4DJC1PlOtd0IADAO0","$uicideboy$",84,"artist","spotify:artist:1VPmR4DJC1PlOtd0IADAO0"
166984,"vapor soul","https://api.spotify.com/v1/artists/3S4d3YRNGg2OhnNm3QvfhA","3S4d3YRNGg2OhnNm3QvfhA","slenderbodies",48,"artist","spotify:artist:3S4d3YRNGg2OhnNm3QvfhA"
555887,"hip hop, pop rap, rap, underground hip hop","https://api.spotify.com/v1/artists/1iNqsUDUraNWrj00bqssQG","1iNqsUDUraNWrj00bqssQG","Dreamville",66,"artist","spotify:artist:1iNqsUDUraNWrj00bqssQG"
937395,"pov: indie","https://api.spotify.com/v1/artists/2D4FOOOtWycb3Aw9nY5n3c","2D4FOOOtWycb3Aw9nY5n3c","Declan McKenna",63,"artist","spotify:artist:2D4FOOOtWycb3Aw9nY5n3c"
838134,"alternative r&b","https://api.spotify.com/v1/artists/1ybINI1qPiFbwDXamRtwxD","1ybINI1qPiFbwDXamRtwxD","Smino",65,"artist","spotify:artist:1ybINI1qPiFbwDXamRtwxD"
474209,"la indie, modern alternative rock, modern rock, pov: indie","https://api.spotify.com/v1/artists/0YhUSm86okLWldQVwJkLlP","0YhUSm86okLWldQVwJkLlP","Bad Suns",56,"artist","spotify:artist:0YhUSm86okLWldQVwJkLlP"
78233,"australian alternative rock","https://api.spotify.com/v1/artists/6kGMx9MqwnbKR2EYvZvvrG","6kGMx9MqwnbKR2EYvZvvrG","Alex Cameron",39,"artist","spotify:artist:6kGMx9MqwnbKR2EYvZvvrG"
10265735,"emo, modern rock, pop, pop punk, rock","https://api.spotify.com/v1/artists/4UXqAaa6dQYAk18Lv7PEgX","4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy",78,"artist","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX"
1070275,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler","https://api.spotify.com/v1/artists/4M5nCE77Qaxayuhp3fVn4V","4M5nCE77Qaxayuhp3fVn4V","Iron & Wine",61,"artist","spotify:artist:4M5nCE77Qaxayuhp3fVn4V"
2179,"","https://api.spotify.com/v1/artists/7HCC7kE2A7UW1IGOzajebg","7HCC7kE2A7UW1IGOzajebg","Victoria Victoria",16,"artist","spotify:artist:7HCC7kE2A7UW1IGOzajebg"
60158,"proto-hyperpop","https://api.spotify.com/v1/artists/1He0ZKninbT4FMEV9hUZKn","1He0ZKninbT4FMEV9hUZKn","Mindchatter",51,"artist","spotify:artist:1He0ZKninbT4FMEV9hUZKn"
6066120,"classic rock, country rock, rock, southern rock, swamp rock","https://api.spotify.com/v1/artists/3IYUhFvPQItj6xySrBmZkd","3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival",78,"artist","spotify:artist:3IYUhFvPQItj6xySrBmZkd"
12484819,"lgbtq+ hip hop","https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq","7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X",76,"artist","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq"
397074,"indie pop, modern alternative pop","https://api.spotify.com/v1/artists/0NB5HROxc8dDBXpkIi1v3d","0NB5HROxc8dDBXpkIi1v3d","Remi Wolf",61,"artist","spotify:artist:0NB5HROxc8dDBXpkIi1v3d"
421394,"","https://api.spotify.com/v1/artists/7oZLKL1GjYiaAgssXsLmW8","7oZLKL1GjYiaAgssXsLmW8","DOPE LEMON",60,"artist","spotify:artist:7oZLKL1GjYiaAgssXsLmW8"
1060273,"electropop, indie poptimism, pov: indie","https://api.spotify.com/v1/artists/5cIc3SBFuBLVxJz58W2tU9","5cIc3SBFuBLVxJz58W2tU9","Oh Wonder",65,"artist","spotify:artist:5cIc3SBFuBLVxJz58W2tU9"
7196953,"boy band, pop","https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD","7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers",77,"artist","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD"
8626,"pittsburgh rap","https://api.spotify.com/v1/artists/2Y4AFMyyarPFVfz9o2CRo2","2Y4AFMyyarPFVfz9o2CRo2","Benji.",42,"artist","spotify:artist:2Y4AFMyyarPFVfz9o2CRo2"
2538995,"pov: indie","https://api.spotify.com/v1/artists/0NIPkIjTV8mB795yEIiPYL","0NIPkIjTV8mB795yEIiPYL","Wallows",67,"artist","spotify:artist:0NIPkIjTV8mB795yEIiPYL"
24058754,"hip hop, rap, slap house","https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY","0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott",93,"artist","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY"
394448,"chicago rap, indie hip hop","https://api.spotify.com/v1/artists/4T8NIfZmVY6TJFqVzN6X49","4T8NIfZmVY6TJFqVzN6X49","tobi lou",60,"artist","spotify:artist:4T8NIfZmVY6TJFqVzN6X49"
1790745,"conscious hip hop, hip hop, rap, underground hip hop","https://api.spotify.com/v1/artists/68kEuyFKyqrdQQLLsmiatm","68kEuyFKyqrdQQLLsmiatm","Vince Staples",65,"artist","spotify:artist:68kEuyFKyqrdQQLLsmiatm"
122769,"indie pop, kc indie, pov: indie","https://api.spotify.com/v1/artists/1MIe1z4RdqLqHSJsb7EBMm","1MIe1z4RdqLqHSJsb7EBMm","The Greeting Committee",46,"artist","spotify:artist:1MIe1z4RdqLqHSJsb7EBMm"
343497,"ecuadorian indie, latintronica, organic electronic","https://api.spotify.com/v1/artists/0OltT51j3hIkgaDJqqPzDn","0OltT51j3hIkgaDJqqPzDn","Nicola Cruz",50,"artist","spotify:artist:0OltT51j3hIkgaDJqqPzDn"
1457891,"classical, impressionism, post-romantic era","https://api.spotify.com/v1/artists/1Uff91EOsvd99rtAupatMP","1Uff91EOsvd99rtAupatMP","Claude Debussy",66,"artist","spotify:artist:1Uff91EOsvd99rtAupatMP"
41481241,"dance pop, pop, uk pop","https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa",86,"artist","spotify:artist:6M2wZ9GZgrQXHCFfjv46we"
3914452,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock","https://api.spotify.com/v1/artists/7mnBLXK823vNxN3UWB7Gfz","7mnBLXK823vNxN3UWB7Gfz","The Black Keys",69,"artist","spotify:artist:7mnBLXK823vNxN3UWB7Gfz"
255163,"electronica, hamburg electronic, organic electronic, pop ambient","https://api.spotify.com/v1/artists/3tSvlEzeDnVbQJBTkIA6nO","3tSvlEzeDnVbQJBTkIA6nO","Christian Löffler",52,"artist","spotify:artist:3tSvlEzeDnVbQJBTkIA6nO"
