"","endTime","artistName","trackName","msPlayed"
"287","2022-08-31 01:07","The Weeknd","The Hills",42580
"288","2022-08-31 01:12","Spillage Village","Baptize (with JID & EARTHGANG feat. Ant Clemons)",293873
"289","2022-08-31 01:14","Spillage Village","M.O.M",124189
"290","2022-08-31 02:06","Shaqdi","Boogie Woogie",30010
"291","2022-08-31 14:20","Spillage Village","Willow Tree",67269
"292","2022-08-31 14:20","Imagine Dragons","Enemy (with JID) - from the series Arcane League of Legends",2716
"293","2022-08-31 14:21","JID","Galaxy",52041
"294","2022-08-31 14:24","JID","Raydar",204909
"295","2022-08-31 14:29","JID","Dance Now (feat. Kenny Mason)",227555
"296","2022-08-31 14:34","JID","Crack Sandwich",297668
"297","2022-08-31 14:37","JID","Can’t Punk Me (feat. EARTHGANG)",203377
"298","2022-08-31 15:09","JID","Surround Sound (feat. 21 Savage & Baby Tate)",42983
"299","2022-08-31 15:12","Jon Hopkins","Candles",148546
"300","2022-08-31 15:14","Lama House","Cotton Spheres",168199
"301","2022-08-31 15:18","Cubicolor","Once Around",213985
"302","2022-08-31 15:20","Ever So Blue","Remembering",119736
"303","2022-08-31 15:24","Four Tet","Parallel 7",278906
"304","2022-08-31 19:29","Across The Great Valley","Waiting for the Sunrise",33514
"305","2022-08-31 19:32","JID","Raydar",204909
"306","2022-08-31 19:36","JID","Dance Now (feat. Kenny Mason)",227555
"307","2022-08-31 19:41","JID","Crack Sandwich",297668
"308","2022-08-31 19:44","JID","Can’t Punk Me (feat. EARTHGANG)",203377
"309","2022-08-31 19:48","JID","Surround Sound (feat. 21 Savage & Baby Tate)",229938
"310","2022-08-31 19:52","JID","Kody Blu 31",224629
"311","2022-08-31 19:56","JID","Bruddanem (feat. Lil Durk)",235423
"312","2022-08-31 20:02","JID","Sistanem",369778
"313","2022-08-31 20:07","JID","Can’t Make U Change (feat. Ari Lennox)",288454
"314","2022-08-31 20:11","JID","Stars (feat. Yasiin Bey)",258244
"315","2022-08-31 20:52","JID","Just In Time (feat. Lil Wayne & Kenny Mason)",112164
"316","2022-08-31 21:05","JID","Money",266345
"317","2022-08-31 21:09","JID","Better Days (feat. Johnta Austin)",254281
"318","2022-08-31 21:13","JID","Lauder Too (feat. Ravyn Lenae & Eryn Allen Kane)",233077
"319","2022-08-31 21:20","Marlon Craft","Somethin Wrong In Heaven",165939
"320","2022-08-31 21:21","Pale Jay","Donny In Valdez - PJ's Flip",46182
"321","2022-08-31 21:22","JID","Galaxy",52041
"322","2022-08-31 21:25","JID","Raydar",204909
"323","2022-08-31 21:29","JID","Dance Now (feat. Kenny Mason)",227555
"324","2022-08-31 21:36","JID","Crack Sandwich",297668
"325","2022-08-31 21:39","JID","Can’t Punk Me (feat. EARTHGANG)",203377
"326","2022-08-31 21:43","JID","Surround Sound (feat. 21 Savage & Baby Tate)",229938
"327","2022-08-31 21:47","JID","Kody Blu 31",224629
"328","2022-08-31 21:51","JID","Bruddanem (feat. Lil Durk)",235423
"329","2022-08-31 21:59","JID","Sistanem",369778
"330","2022-08-31 22:04","JID","Can’t Make U Change (feat. Ari Lennox)",288454
"331","2022-08-31 22:08","JID","Stars (feat. Yasiin Bey)",258244
"332","2022-08-31 22:11","JID","Just In Time (feat. Lil Wayne & Kenny Mason)",207059
"333","2022-08-31 22:16","JID","Money",266345
"334","2022-08-31 22:20","JID","Better Days (feat. Johnta Austin)",254281
"335","2022-08-31 22:21","JID","Lauder Too (feat. Ravyn Lenae & Eryn Allen Kane)",62765
"336","2022-09-01 13:35","Leslie Odom Jr.","Alexander Hamilton",236738
"337","2022-09-01 13:40","Leslie Odom Jr.","Alexander Hamilton",236738
"338","2022-09-01 13:45","Leslie Odom Jr.","Wait for It",193750
"339","2022-09-01 13:46","Original Broadway Cast of Hamilton","Stay Alive",99428
"340","2022-09-01 13:48","Leslie Odom Jr.","Guns and Ships",127578
"341","2022-09-01 14:08","Leslie Odom Jr.","Guns and Ships",23289
"342","2022-09-01 14:09","JID","Galaxy",52041
"343","2022-09-01 14:12","JID","Raydar",158764
"344","2022-09-01 15:12","JID","Raydar",46131
"345","2022-09-01 16:31","JID","Dance Now (feat. Kenny Mason)",227555
"346","2022-09-01 16:36","JID","Crack Sandwich",297668
"347","2022-09-01 16:40","JID","Can’t Punk Me (feat. EARTHGANG)",203377
"348","2022-09-01 16:43","JID","Surround Sound (feat. 21 Savage & Baby Tate)",229938
"349","2022-09-01 16:47","JID","Kody Blu 31",224629
"350","2022-09-01 16:51","JID","Bruddanem (feat. Lil Durk)",235423
"351","2022-09-01 16:57","JID","Sistanem",369778
"352","2022-09-01 17:00","JID","Can’t Make U Change (feat. Ari Lennox)",98450
"353","2022-09-01 17:05","JID","Stars (feat. Yasiin Bey)",258244
"354","2022-09-01 17:08","JID","Just In Time (feat. Lil Wayne & Kenny Mason)",207059
"355","2022-09-01 17:13","JID","Money",266345
"356","2022-09-01 17:17","JID","Better Days (feat. Johnta Austin)",254281
"357","2022-09-01 17:21","JID","Lauder Too (feat. Ravyn Lenae & Eryn Allen Kane)",233077
"358","2022-09-01 17:24","Spillage Village","Willow Tree",195800
"359","2022-09-01 17:27","Marlon Craft","Somethin Wrong In Heaven",165939
"360","2022-09-01 17:28","Jay Electronica","Fruits Of The Spirit",94507
"361","2022-09-01 17:30","Maxo","48 (feat. Pink Siifu)",3000
"362","2022-09-01 17:30","Pale Jay","Donny In Valdez - PJ's Flip",113747
